section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769358587967,808.127,460.706,1.0,49,,-1.267830031869379,8.823499837969564
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769364870967,811.966,456.404,1.0,49,,-1.018222560028308,9.101617896661596
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769368028967,796.415,472.162,1.0,49,,-2.028213556197511,8.082366717159202
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769375008967,822.9,454.687,1.0,49,,-0.30585512688290145,9.213173172916454
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769380527967,825.016,430.522,1.0,49,,-0.16798659388600973,10.773220655667913
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769383717967,819.976,432.521,1.0,49,,-0.497322078240287,10.643965202634377
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769390088967,806.573,448.849,1.0,49,,-1.3706753547473531,9.58883687903251
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769392943967,820.115,456.939,1.0,49,,-0.48728553612985376,9.06762119343929
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769399226967,805.699,440.072,1.0,49,,-1.4290200565221771,10.155247858440145
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769406035967,804.001,427.449,1.0,49,,-1.5421448216603466,10.969637296736638
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769409051967,833.364,446.679,1.0,49,,0.37661536878842083,9.730375846886588
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769414897967,841.621,429.349,1.0,49,,0.9176983042379688,10.848763018645869
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769418126967,819.917,428.924,1.0,49,,-0.5013622551359652,10.876102617901145
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769424296967,819.966,442.155,1.0,49,,-0.4976084977060222,10.022116263012887
71cb6c6a-927f-462e-ba70-a0ceaa885e3b,8097783b-e684-476c-8b4d-3b1cf647ff75,1703060769430503967,818.892,438.172,1.0,49,,-0.5678564606458903,10.279160370162746
