gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060767496.1428,246.0,1.0,291.384375,186.80212500000002,399.339,279.839,1.0,144.0
1703060767502.519,246.0,1.0,292.27425,185.02575,400.063,278.737,1.0,144.0
1703060767508.643,246.0,1.0,287.05575,182.20575,395.914,276.453,1.0,144.0
1703060767511.735,246.0,1.0,293.449125,179.75025,401.035,275.342,1.0,144.0
1703060767518.056,246.0,1.0,289.99649999999997,182.041125,398.258,276.58,1.0,144.0
1703060767521.177,246.0,1.0,289.833375,181.36125,398.132,276.118,1.0,144.0
1703060767527.356,246.0,1.0,288.5595,179.677875,397.127,274.908,1.0,144.0
1703060767534.046,246.0,1.0,290.41462499999994,182.186625,398.591,276.709,1.0,144.0
1703060767537.042,246.0,1.0,293.775,187.965375,401.251,280.809,1.0,144.0
1703060767543.231,246.0,1.0,296.355,184.000125,403.35,278.391,1.0,144.0
1703060767546.18,246.0,1.0,295.1025,187.7835,402.321,280.799,1.0,144.0
1703060767552.346,246.0,1.0,291.62924999999996,183.56662500000002,399.554,277.719,1.0,144.0
1703060767558.64,246.0,1.0,293.982,183.23287499999998,401.443,277.689,1.0,144.0
1703060767561.783,246.0,1.0,294.345375,179.346,401.756,275.146,1.0,144.0
1703060767568.022,246.0,1.0,292.91025,182.42025,400.587,277.064,1.0,144.0
1703060767571.147,246.0,1.0,289.300125,183.198,397.695,277.287,1.0,144.0
1703060767577.331,248.0,1.0,285.4815,186.82575,377.944,279.064,1.0,146.0
1703060767583.5989,248.0,1.0,286.85325,185.379375,378.996,278.095,1.0,146.0
1703060767586.6738,248.0,1.0,283.782375,187.137,376.626,279.209,1.0,146.0
1703060767592.9631,248.0,1.0,290.472375,183.79575,381.805,277.126,1.0,146.0
1703060767596.061,248.0,1.0,291.83025000000004,183.60337499999997,382.867,277.049,1.0,146.0
1703060767602.2988,248.0,1.0,294.371625,184.016625,384.87,277.457,1.0,146.0
1703060767608.607,248.0,1.0,292.29075,184.00424999999998,383.234,277.356,1.0,146.0
1703060767611.7378,248.0,1.0,292.887375,184.134,383.704,277.475,1.0,146.0
1703060767618.001,248.0,1.0,292.37662500000005,186.073125,383.328,278.839,1.0,146.0
1703060767621.133,248.0,1.0,291.87975,187.841625,382.96,280.082,1.0,146.0
1703060767627.342,248.0,1.0,293.835,189.084,384.514,281.062,1.0,146.0
1703060767633.722,248.0,1.0,294.472125,188.5845,385.009,280.734,1.0,146.0
1703060767636.869,248.0,1.0,294.386625,186.03187499999999,384.908,278.9,1.0,146.0
1703060767643.1848,248.0,1.0,296.50425,184.18724999999998,386.553,277.674,1.0,146.0
1703060767646.25,248.0,1.0,292.44674999999995,186.027375,383.382,278.809,1.0,146.0
1703060767652.321,248.0,1.0,289.79812499999997,186.732,381.314,279.193,1.0,146.0
1703060767658.613,248.0,1.0,293.01599999999996,184.8405,383.814,277.986,1.0,146.0
1703060767661.793,248.0,1.0,288.745875,182.706,380.441,276.273,1.0,146.0
1703060767667.9639,248.0,1.0,291.19800000000004,185.630625,382.397,278.469,1.0,146.0
1703060767671.057,248.0,1.0,291.277125,184.68675,382.447,277.798,1.0,146.0
1703060767677.2969,248.0,1.0,296.632125,180.34724999999997,386.602,274.929,1.0,146.0
1703060767683.593,248.0,1.0,296.23650000000004,186.545625,386.373,279.353,1.0,146.0
1703060767686.6912,248.0,1.0,286.535625,187.85099999999997,378.778,279.843,1.0,146.0
1703060767692.9832,248.0,1.0,295.87875,185.184,386.073,278.36,1.0,146.0
1703060767696.246,248.0,1.0,293.96099999999996,182.383125,384.525,276.27,1.0,146.0
1703060767702.316,248.0,1.0,295.8225,185.38387500000002,386.031,278.501,1.0,146.0
1703060767708.597,248.0,1.0,293.8215,187.31850000000003,384.48,279.796,1.0,146.0
1703060767711.73,248.0,1.0,292.723125,186.81375,383.61,279.385,1.0,146.0
1703060767718.2668,248.0,1.0,299.944125,187.064625,389.314,279.896,1.0,146.0
1703060767721.275,248.0,1.0,300.81525,185.3175,389.981,278.679,1.0,146.0
1703060767727.441,248.0,1.0,298.60125,184.189875,388.21,277.77,1.0,146.0
1703060767734.2012,248.0,1.0,302.90062500000005,182.35987500000002,391.596,276.646,1.0,146.0
1703060767737.074,248.0,1.0,307.16737500000005,186.12037500000002,395.055,279.548,1.0,146.0
1703060767743.1519,248.0,1.0,303.83437499999997,184.124625,392.364,277.957,1.0,146.0
1703060767746.1372,248.0,1.0,299.733,187.300125,389.15,280.055,1.0,146.0
1703060767752.3909,248.0,1.0,306.87225,186.035625,394.817,279.474,1.0,146.0
1703060767758.6838,248.0,1.0,298.996125,181.773375,388.49,276.053,1.0,146.0
1703060767762.625,248.0,1.0,299.3895,187.200375,388.876,279.968,1.0,146.0
1703060767768.0488,248.0,1.0,303.46574999999996,188.2755,392.131,280.931,1.0,146.0
1703060767771.197,248.0,1.0,305.12812499999995,187.2315,393.441,280.256,1.0,146.0
1703060767777.366,250.0,1.0,306.076125,192.68062500000002,373.762,285.603,1.0,175.0
1703060767783.666,250.0,1.0,300.60412499999995,187.993125,369.577,282.286,1.0,175.0
1703060767786.918,250.0,1.0,305.432625,184.244625,373.264,280.019,1.0,175.0
1703060767793.011,250.0,1.0,300.28950000000003,186.26925000000003,369.339,281.143,1.0,175.0
1703060767796.243,250.0,1.0,303.23025,186.567375,371.58,281.457,1.0,175.0
1703060767802.3591,250.0,1.0,300.62925,185.433,369.598,280.609,1.0,175.0
1703060767808.697,250.0,1.0,299.113125,183.727125,368.448,279.434,1.0,175.0
1703060767811.8337,250.0,1.0,295.95975,185.29725,366.062,280.336,1.0,175.0
1703060767818.302,250.0,1.0,298.45612500000004,181.61925,367.953,278.033,1.0,175.0
1703060767821.154,250.0,1.0,299.769375,183.54525,368.946,279.34,1.0,175.0
1703060767829.132,250.0,1.0,295.791,182.976375,365.938,278.817,1.0,175.0
1703060767834.728,250.0,1.0,301.20262499999995,180.81187500000001,370.037,277.608,1.0,175.0
1703060767836.705,250.0,1.0,294.897,181.01325,365.268,277.506,1.0,175.0
